year,iso_3166_2,total
2012,WA,19086421.397650003
2013,WA,25237371.1633
2014,WA,24992658.261989996
2015,WA,23762348.980669
2016,WA,22622513.014972
2017,WA,22977721.325106002
2018,WA,22996905.973833002
2019,WA,27355908.398104995
2020,WA,23284188.348059997
2011,WI,55602928.89749901
2012,WI,49948628.07314001
2013,WI,55699989.576
2014,WI,52333881.72599999
2015,WI,53877635.02999997
2016,WI,50321774.82599998
2017,WI,52643048.694
2018,WI,50560652.469999984
2019,WI,43309514.90600001
2020,WI,40453393.58999999
2011,WV,91523849.65734464
2012,WV,85936175.09826002
2013,WV,88374371.98091319
2014,WV,95128304.31429818
2015,WV,88614103.31906001
2016,WV,89938081.974465
2017,WV,86622365.47532
2018,WV,79465163.37475498
2019,WV,75080763.214845
2020,WV,67400526.28081001
2011,WY,64545865.9602089
2012,WY,67177287.73163134
2013,WY,67506129.16600001
2014,WY,62932425.09599999
2015,WY,63254874.128
2016,WY,57567892.764000006
2017,WY,60354151.09
2018,WY,59357805.944000006
2019,WY,54610168.97799999
2020,WY,52862246.302
